"covariateId","columnId","covariateName","analysisId","conceptId","included","covariateValue"
8507001,1,"gender = MALE",1,8507,1,0.00206626028959299
22274201,2,"condition_era any time prior through 0 days relative to index: Neoplasm of uncertain behavior of larynx",201,22274,1,0
22281201,3,"condition_era any time prior through 0 days relative to index: Hb SS disease",201,22281,1,0.000117598575506229
22288201,4,"condition_era any time prior through 0 days relative to index: Hereditary elliptocytosis",201,22288,1,0.000436824106671877
22350201,5,"condition_era any time prior through 0 days relative to index: Edema of larynx",201,22350,1,0
22426201,6,"condition_era any time prior through 0 days relative to index: Congenital macrostomia",201,22426,1,0
22492201,7,"condition_era any time prior through 0 days relative to index: Foreign body in pharynx",201,22492,1,0
22665201,8,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction",201,22665,1,0
22666201,9,"condition_era any time prior through 0 days relative to index: Vomiting after gastrointestinal tract surgery",201,22666,1,4.25117372740588e-05
22722201,10,"condition_era any time prior through 0 days relative to index: Accessory salivary gland",201,22722,1,0
22820201,11,"condition_era any time prior through 0 days relative to index: Tuberculosis of esophagus",201,22820,1,0
22839201,12,"condition_era any time prior through 0 days relative to index: Overlapping malignant neoplasm of larynx",201,22839,1,0
22856201,13,"condition_era any time prior through 0 days relative to index: Polyglandular dysfunction",201,22856,1,0
22945201,14,"condition_era any time prior through 0 days relative to index: Horizontal overbite",201,22945,1,0
23137201,15,"condition_era any time prior through 0 days relative to index: Chlamydial pharyngitis",201,23137,1,0
23164201,16,"condition_era any time prior through 0 days relative to index: Disorder of anterior pituitary",201,23164,1,0
23220201,17,"condition_era any time prior through 0 days relative to index: Chronic tonsillitis",201,23220,1,0
23237201,18,"condition_era any time prior through 0 days relative to index: Acute peptic ulcer with hemorrhage AND obstruction",201,23237,1,8.19191238866837e-05
23245201,19,"condition_era any time prior through 0 days relative to index: Esophageal bleeding",201,23245,1,0
23247201,20,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer with perforation but without obstruction",201,23247,1,0
23304201,21,"condition_era any time prior through 0 days relative to index: Neck webbing",201,23304,1,0
23567201,22,"condition_era any time prior through 0 days relative to index: Branchial cleft cyst",201,23567,1,0
23789201,23,"condition_era any time prior through 0 days relative to index: Pharynx or nasopharynx cyst",201,23789,1,0
23799201,24,"condition_era any time prior through 0 days relative to index: Pharynx or nasopharynx edema",201,23799,1,2.72631223064043e-05
23806201,25,"condition_era any time prior through 0 days relative to index: Atrophy of salivary gland",201,23806,1,0
23808201,26,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer without hemorrhage, without perforation AND without obstruction",201,23808,1,0
23865201,27,"condition_era any time prior through 0 days relative to index: Congenital anomaly of pharynx",201,23865,1,0
23868201,28,"condition_era any time prior through 0 days relative to index: Congenital anomaly of esophagus",201,23868,1,0
23988201,29,"condition_era any time prior through 0 days relative to index: Hemolytic anemia due to glutathione metabolism disorder",201,23988,1,0.000359785026789049
24076201,30,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer with hemorrhage AND obstruction",201,24076,1,1.64814236046053e-05
24198201,31,"condition_era any time prior through 0 days relative to index: Contusion of esophagus",201,24198,1,0
24397201,32,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",201,24397,1,0.000300744222541068
24602201,33,"condition_era any time prior through 0 days relative to index: Benign neoplasm of esophagus",201,24602,1,0
24609201,34,"condition_era any time prior through 0 days relative to index: Hypoglycemia",201,24609,1,0.000558534811387395
24612201,35,"condition_era any time prior through 0 days relative to index: Multiple endocrine neoplasia, type 2",201,24612,1,0
