"covariateId","columnId","covariateName","analysisId","conceptId","covariateValue","included"
8507001,1,"gender = MALE",1,8507,0,0
22274201,2,"condition_era any time prior through 0 days relative to index: Neoplasm of uncertain behavior of larynx",201,22274,0,0
22281201,3,"condition_era any time prior through 0 days relative to index: Hb SS disease",201,22281,0,0
22288201,4,"condition_era any time prior through 0 days relative to index: Hereditary elliptocytosis",201,22288,0,0
22350201,5,"condition_era any time prior through 0 days relative to index: Edema of larynx",201,22350,0,0
22426201,6,"condition_era any time prior through 0 days relative to index: Congenital macrostomia",201,22426,0,0
22492201,7,"condition_era any time prior through 0 days relative to index: Foreign body in pharynx",201,22492,0,0
22665201,8,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction",201,22665,0,0
22666201,9,"condition_era any time prior through 0 days relative to index: Vomiting after gastrointestinal tract surgery",201,22666,0,0
22722201,10,"condition_era any time prior through 0 days relative to index: Accessory salivary gland",201,22722,0,0
22820201,11,"condition_era any time prior through 0 days relative to index: Tuberculosis of esophagus",201,22820,0,0
22839201,12,"condition_era any time prior through 0 days relative to index: Overlapping malignant neoplasm of larynx",201,22839,0,0
22856201,13,"condition_era any time prior through 0 days relative to index: Polyglandular dysfunction",201,22856,0,0
22945201,14,"condition_era any time prior through 0 days relative to index: Horizontal overbite",201,22945,0,0
23137201,15,"condition_era any time prior through 0 days relative to index: Chlamydial pharyngitis",201,23137,0,0
23164201,16,"condition_era any time prior through 0 days relative to index: Disorder of anterior pituitary",201,23164,0.00205362250208335,1
23220201,17,"condition_era any time prior through 0 days relative to index: Chronic tonsillitis",201,23220,0,0
23237201,18,"condition_era any time prior through 0 days relative to index: Acute peptic ulcer with hemorrhage AND obstruction",201,23237,0,0
23245201,19,"condition_era any time prior through 0 days relative to index: Esophageal bleeding",201,23245,0,0
23247201,20,"condition_era any time prior through 0 days relative to index: Chronic peptic ulcer with perforation but without obstruction",201,23247,0,0
23304201,21,"condition_era any time prior through 0 days relative to index: Neck webbing",201,23304,0,0
23567201,22,"condition_era any time prior through 0 days relative to index: Branchial cleft cyst",201,23567,0,0
23789201,23,"condition_era any time prior through 0 days relative to index: Pharynx or nasopharynx cyst",201,23789,0,0
23799201,24,"condition_era any time prior through 0 days relative to index: Pharynx or nasopharynx edema",201,23799,0,0
