"covariateId","columnId","covariateName","analysisId","conceptId","covariateValue","included"
8507001,1178,"gender = MALE",1,8507,0.000783685218598854,1
22288201,546,"condition_era any time prior through 0 days relative to index: Hereditary elliptocytosis",201,22288,0,0
23988201,823,"condition_era any time prior through 0 days relative to index: Hemolytic anemia due to glutathione metabolism disorder",201,23988,0,0
24609201,996,"condition_era any time prior through 0 days relative to index: Hypoglycemia",201,24609,0,0
24909201,1129,"condition_era any time prior through 0 days relative to index: Hereditary spherocytosis",201,24909,0,0
25844201,930,"condition_era any time prior through 0 days relative to index: Ulcer of esophagus",201,25844,0,0
26662201,95,"condition_era any time prior through 0 days relative to index: Testicular hypofunction",201,26662,0,0
26727201,1153,"condition_era any time prior through 0 days relative to index: Hematemesis",201,26727,0,0
27674201,107,"condition_era any time prior through 0 days relative to index: Nausea and vomiting",201,27674,0,0
28396201,192,"condition_era any time prior through 0 days relative to index: Hereditary hemolytic anemia",201,28396,0,0
29735201,650,"condition_era any time prior through 0 days relative to index: Candidiasis of mouth",201,29735,0,0
30234201,623,"condition_era any time prior through 0 days relative to index: Neck sprain",201,30234,0,0
30437201,200,"condition_era any time prior through 0 days relative to index: Gastro-esophageal reflux disease with esophagitis",201,30437,0,0
30753201,156,"condition_era any time prior through 0 days relative to index: Esophagitis",201,30753,0,0
30978201,1027,"condition_era any time prior through 0 days relative to index: Thalassemia",201,30978,0,0
31317201,386,"condition_era any time prior through 0 days relative to index: Dysphagia",201,31317,0,0
31610201,502,"condition_era any time prior through 0 days relative to index: Disorder of esophagus",201,31610,0,0
31668201,859,"condition_era any time prior through 0 days relative to index: Acquired deformity of neck",201,31668,0,0
31967201,259,"condition_era any time prior through 0 days relative to index: Nausea",201,31967,0,0
72401201,1060,"condition_era any time prior through 0 days relative to index: Kashin-Bek disease",201,72401,0,0
72404201,1007,"condition_era any time prior through 0 days relative to index: Joint stiffness",201,72404,0,0
72405201,834,"condition_era any time prior through 0 days relative to index: Degenerative joint disease of shoulder region",201,72405,0.00642821457775447,1
72705201,1018,"condition_era any time prior through 0 days relative to index: Pauciarticular juvenile rheumatoid arthritis",201,72705,0,0
72711201,795,"condition_era any time prior through 0 days relative to index: Shoulder stiff",201,72711,0,0
72715201,1008,"condition_era any time prior through 0 days relative to index: Exostosis",201,72715,0,0
72737201,512,"condition_era any time prior through 0 days relative to index: Microcalcifications of the breast",201,72737,0,0
72748201,371,"condition_era any time prior through 0 days relative to index: Strain of rotator cuff capsule",201,72748,0,0
72990201,307,"condition_era any time prior through 0 days relative to index: Localized osteoarthrosis uncertain if primary OR secondary",201,72990,0,0
72992201,1034,"condition_era any time prior through 0 days relative to index: Allergic arthritis",201,72992,0,0
72993201,264,"condition_era any time prior through 0 days relative to index: Localized, primary osteoarthritis",201,72993,0,0
73008201,493,"condition_era any time prior through 0 days relative to index: Enthesopathy",201,73008,0,0
73241201,977,"condition_era any time prior through 0 days relative to index: Anal and rectal polyp",201,73241,0,0
73301201,936,"condition_era any time prior through 0 days relative to index: Synovitis/tenosynovitis - wrist",201,73301,0,0
73553201,213,"condition_era any time prior through 0 days relative to index: Arthropathy",201,73553,0.00936084846760954,1
73560201,629,"condition_era any time prior through 0 days relative to index: Calcaneal spur",201,73560,0,0
73562201,873,"condition_era any time prior through 0 days relative to index: Solitary sacroiliitis",201,73562,0,0
73564201,447,"condition_era any time prior through 0 days relative to index: Full thickness rotator cuff tear",201,73564,0,0
73574201,748,"condition_era any time prior through 0 days relative to index: Nonunion of fracture",201,73574,0,0
73754201,989,"condition_era any time prior through 0 days relative to index: Restless legs",201,73754,0,0
73819201,290,"condition_era any time prior through 0 days relative to index: Pain of breast",201,73819,0,0
73840201,624,"condition_era any time prior through 0 days relative to index: Localized, primary osteoarthritis of the shoulder region",201,73840,0,0
73843201,583,"condition_era any time prior through 0 days relative to index: Synovial cyst of popliteal space",201,73843,0,0
74114201,1017,"condition_era any time prior through 0 days relative to index: Cellulitis and abscess of foot excluding toe",201,74114,0,0
74125201,269,"condition_era any time prior through 0 days relative to index: Inflammatory polyarthropathy",201,74125,0,0
74130201,545,"condition_era any time prior through 0 days relative to index: Thoracic spondylosis without myelopathy",201,74130,0,0
74132201,346,"condition_era any time prior through 0 days relative to index: Degeneration of lumbosacral intervertebral disc",201,74132,0,0
74138201,416,"condition_era any time prior through 0 days relative to index: Pathological fracture of vertebra",201,74138,0,0
74174201,1066,"condition_era any time prior through 0 days relative to index: Urinary symptoms",201,74174,0,0
74458201,839,"condition_era any time prior through 0 days relative to index: Enthesopathy of knee",201,74458,0.0021210875432947,1
74464201,607,"condition_era any time prior through 0 days relative to index: Idiopathic scoliosis AND/OR kyphoscoliosis",201,74464,0,0
74582201,367,"condition_era any time prior through 0 days relative to index: Primary malignant neoplasm of rectum",201,74582,0,0
74719201,115,"condition_era any time prior through 0 days relative to index: Ulcer of foot",201,74719,0,0
74722201,717,"condition_era any time prior through 0 days relative to index: Secondary localized osteoarthrosis of pelvic region",201,74722,0,0
74725201,802,"condition_era any time prior through 0 days relative to index: Displacement of cervical intervertebral disc without myelopathy",201,74725,0,0
74728201,603,"condition_era any time prior through 0 days relative to index: Synovitis and tenosynovitis",201,74728,0,0
74729201,1028,"condition_era any time prior through 0 days relative to index: Ganglion and cyst of synovium, tendon and bursa",201,74729,0,0
74731201,789,"condition_era any time prior through 0 days relative to index: Hypertrophic osteoarthropathy",201,74731,0,0
75004201,1108,"condition_era any time prior through 0 days relative to index: Frank hematuria",201,75004,0,0
75036201,440,"condition_era any time prior through 0 days relative to index: Localized, primary osteoarthritis of the hand",201,75036,0,0
75095201,557,"condition_era any time prior through 0 days relative to index: Closed fracture of ankle",201,75095,0,0
75128201,759,"condition_era any time prior through 0 days relative to index: Injury of chest wall",201,75128,0,0
75337201,845,"condition_era any time prior through 0 days relative to index: Cellulitis and abscess of buttock",201,75337,0.00333505596367411,1
75344201,701,"condition_era any time prior through 0 days relative to index: Intervertebral disc disorder",201,75344,0.00652372816585918,1
75347201,990,"condition_era any time prior through 0 days relative to index: Spinal enthesopathy",201,75347,0,0
75354201,293,"condition_era any time prior through 0 days relative to index: Osteochondropathy",201,75354,0,0
75389201,729,"condition_era any time prior through 0 days relative to index: Current tear of lateral cartilage AND/OR meniscus of knee",201,75389,0,0
75617201,355,"condition_era any time prior through 0 days relative to index: Degenerative joint disease involving multiple joints",201,75617,0.00449545398853483,1
75634201,952,"condition_era any time prior through 0 days relative to index: Fracture malunion",201,75634,0,0
75860201,356,"condition_era any time prior through 0 days relative to index: Constipation",201,75860,0,0
75863201,851,"condition_era any time prior through 0 days relative to index: Chronic interstitial cystitis",201,75863,0,0
75897201,579,"condition_era any time prior through 0 days relative to index: Polyarthropathy",201,75897,0,0
75908201,1173,"condition_era any time prior through 0 days relative to index: Kissing spine",201,75908,0,0
75909201,1029,"condition_era any time prior through 0 days relative to index: Disorder of bone",201,75909,0,0
75911201,461,"condition_era any time prior through 0 days relative to index: Acquired hallux valgus",201,75911,0,0
76153201,478,"condition_era any time prior through 0 days relative to index: Low compliance bladder",201,76153,0,0
76161201,854,"condition_era any time prior through 0 days relative to index: Impotence of organic origin",201,76161,0.00751512826228133,1
76194201,601,"condition_era any time prior through 0 days relative to index: Osteoarthrosis involving multiple sites but not designated as generalized",201,76194,0,0
76196201,648,"condition_era any time prior through 0 days relative to index: Palindromic rheumatism",201,76196,0,0
76611201,939,"condition_era any time prior through 0 days relative to index: Injury of shoulder region",201,76611,0,0
76685201,562,"condition_era any time prior through 0 days relative to index: Myasthenia gravis",201,76685,0,0
76836201,1011,"condition_era any time prior through 0 days relative to index: Sprain of knee and leg",201,76836,0,0
77025201,111,"condition_era any time prior through 0 days relative to index: Diverticulitis of colon",201,77025,0,0
77030201,418,"condition_era any time prior through 0 days relative to index: Disorder of breast",201,77030,0,0
77074201,685,"condition_era any time prior through 0 days relative to index: Joint pain",201,77074,0,0
77079201,721,"condition_era any time prior through 0 days relative to index: Spinal stenosis",201,77079,0,0
77081201,1010,"condition_era any time prior through 0 days relative to index: Tibialis tendinitis",201,77081,0,0
77234201,303,"condition_era any time prior through 0 days relative to index: Benign neoplasm of colon",201,77234,0,0
77310201,643,"condition_era any time prior through 0 days relative to index: Deep vein phlebitis and thrombophlebitis of the leg",201,77310,0,0
77364201,713,"condition_era any time prior through 0 days relative to index: Hypermobility of coccyx",201,77364,0,0
77365201,770,"condition_era any time prior through 0 days relative to index: Disuse osteoporosis",201,77365,0,0
77630201,564,"condition_era any time prior through 0 days relative to index: Disorder of shoulder",201,77630,0,0
77631201,189,"condition_era any time prior through 0 days relative to index: Localized, secondary osteoarthritis of the shoulder region",201,77631,0,0
77638201,678,"condition_era any time prior through 0 days relative to index: Displacement of intervertebral disc without myelopathy",201,77638,0,0
77639201,265,"condition_era any time prior through 0 days relative to index: Diffuse cervicobrachial syndrome",201,77639,0,0
77644201,247,"condition_era any time prior through 0 days relative to index: Adhesive capsulitis of shoulder",201,77644,0.00698765186072676,1
77646201,250,"condition_era any time prior through 0 days relative to index: Disorder of bone and articular cartilage",201,77646,0,0
77650201,890,"condition_era any time prior through 0 days relative to index: Aseptic necrosis of bone",201,77650,0,0
77670201,161,"condition_era any time prior through 0 days relative to index: Chest pain",201,77670,0.0219635604186404,1
77923201,1070,"condition_era any time prior through 0 days relative to index: Eosinophilic colitis",201,77923,0,0
77961201,672,"condition_era any time prior through 0 days relative to index: Disseminated idiopathic skeletal hyperostosis",201,77961,0,0
77965201,621,"condition_era any time prior through 0 days relative to index: Acquired trigger finger",201,77965,0,0
78097201,642,"condition_era any time prior through 0 days relative to index: Secondary malignant neoplasm of bone",201,78097,0,0
78162201,773,"condition_era any time prior through 0 days relative to index: Peripheral vertigo",201,78162,0,0
78227201,733,"condition_era any time prior through 0 days relative to index: Degenerative joint disease of hand",201,78227,0,0
78228201,358,"condition_era any time prior through 0 days relative to index: Joint derangement",201,78228,0,0
78230201,442,"condition_era any time prior through 0 days relative to index: Rheumatoid arthritis with organ / system involvement",201,78230,0,0
78232201,169,"condition_era any time prior through 0 days relative to index: Shoulder joint pain",201,78232,0,0
78234201,419,"condition_era any time prior through 0 days relative to index: Hand joint pain",201,78234,0.00639752759769612,1
78235201,609,"condition_era any time prior through 0 days relative to index: Disorder of coccyx",201,78235,0,0
78236201,214,"condition_era any time prior through 0 days relative to index: Muscle atrophy",201,78236,0,0
78238201,1170,"condition_era any time prior through 0 days relative to index: Rupture of synovium",201,78238,0,0
78472201,319,"condition_era any time prior through 0 days relative to index: Microscopic hematuria",201,78472,0,0
78497201,612,"condition_era any time prior through 0 days relative to index: Cellulitis and abscess of toe",201,78497,0,0
78505201,653,"condition_era any time prior through 0 days relative to index: Localized, primary osteoarthritis of the ankle and/or foot",201,78505,0,0
78508201,300,"condition_era any time prior through 0 days relative to index: Arthralgia of the ankle and/or foot",201,78508,0,0
78516201,527,"condition_era any time prior through 0 days relative to index: Arthralgia of the upper arm",201,78516,0,0
78517201,405,"condition_era any time prior through 0 days relative to index: Multiple joint pain",201,78517,0,0
78619201,301,"condition_era any time prior through 0 days relative to index: Contusion of knee",201,78619,0,0
78771201,718,"condition_era any time prior through 0 days relative to index: Labyrinthine dysfunction",201,78771,0,0
78804201,1140,"condition_era any time prior through 0 days relative to index: Fibrocystic disease of breast",201,78804,0,0
78832201,769,"condition_era any time prior through 0 days relative to index: Intervertebral disc disorder with myelopathy",201,78832,0,0
79106201,105,"condition_era any time prior through 0 days relative to index: Arthralgia of the pelvic region and thigh",201,79106,0,0
79109201,1035,"condition_era any time prior through 0 days relative to index: Climacteric arthritis",201,79109,0,0
79116201,908,"condition_era any time prior through 0 days relative to index: Disorder of tendon of shoulder region",201,79116,0,0
79119201,809,"condition_era any time prior through 0 days relative to index: Thoracic spondylosis with myelopathy",201,79119,0,0
79127201,396,"condition_era any time prior through 0 days relative to index: Congenital spondylolisthesis",201,79127,0,0
79740201,140,"condition_era any time prior through 0 days relative to index: Overlapping malignant neoplasm of colon",201,79740,0,0
79864201,312,"condition_era any time prior through 0 days relative to index: Hematuria syndrome",201,79864,0,0
79904201,785,"condition_era any time prior through 0 days relative to index: Localized, secondary osteoarthritis of the hand",201,79904,0,0
79908201,137,"condition_era any time prior through 0 days relative to index: Muscle weakness",201,79908,0,0
79936201,762,"condition_era any time prior through 0 days relative to index: Polyuria",201,79936,0,0
80141201,332,"condition_era any time prior through 0 days relative to index: Functional diarrhea",201,80141,0,0
